lanth,spin,CASSCF,MCPDFT,nevpt
Ce,1,-9410.746211782382,-9416.111193390907,-9413.143934618858
Gd,3,-11821.238504881761,-11827.423702485243,-11823.756978037378
Gd,1,-11821.184390539565,-11827.372605656383,-11823.70125065458
Gd,7,-11821.150397130428,-11827.319224196142,-11823.666330415606
Gd,5,-11821.008664414529,-11827.229983592095,-11823.531974132635
Nd,1,-10174.065704757675,-10179.71063155892,-10176.411721591528
Nd,3,-10174.13386468014,-10179.754496303305,-10176.445810229055
Pm,0,-10570.572688300277,-10576.323902551812,-10573.01728586076
Pm,2,-10570.616986332145,-10576.351400098403,-10573.061468341524
Pm,4,-10570.700817687255,-10576.437311505199,-10573.13307947557
Pr,0,-9787.490940535932,-9793.006587867165,-9789.883319249988
Pr,2,-9787.515763831445,-9793.021144924718,-9789.895090736502
Sm,3,-10977.239173277163,-10983.127250699745,-10979.685643705143
Sm,1,-10977.18882871126,-10983.075291954934,-10979.639353311735
Sm,5,-10977.30529333635,-10983.236184495438,-10979.78211874143
Yb,1,-13986.013665603992,-13993.422106616736,-13988.850899084371
Yb,3,-13985.77049446098,-13993.225243855946,-13988.636753022396
Yb,5,-13985.55560501395,-13993.001012224871,-13988.401794855186
Yb,9,-13984.99336304757,-13992.450776731413,-13987.854060149542
Yb,7,-13985.27716359565,-13992.714454333447,-13988.112417058735
